Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Red Team Activity,Hosts,Users
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Execution,T1204.004,User Execution: Malicious Copy and Paste,Windows,"`explorer.exe` spawns `powershell.exe` with command line containing `-w h -ep bypass -c ""iex(gc -Raw ...)""` (indicates Win+R Run execution)",Calibrated - Not Benign,"Lure page pre-loads PowerShell one-liner into clipboard; user instructed to open Win+R, paste, and press Enter",victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Execution,T1059.001,Command and Scripting Interpreter: PowerShell,Windows,"`powershell.exe` executes with arguments `-w h -ep bypass -c ""iex(gc -Raw '...\cert_bundle.txt')""`",Calibrated - Not Benign,User pastes and runs the PowerShell command from Win+R,victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"`powershell.exe` reads `%USERPROFILE%\Downloads\cert_bundle.txt`, reconstructs base64 from PEM lines, and decodes via `Security.Cryptography.FromBase64Transform` into a memory stream (follow-on file write to `%TEMP%`)",Calibrated - Not Benign,Primary scored decode step: aligns with Windows detection guidance (process + script + staged file read/write chain),victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1036.008,Masquerading: Masquerade File Type,Windows,`powershell.exe` writes `%TEMP%\hpsolutionsportal.bin` and renames it to `%TEMP%\hpsolutionsportal.hta`,Calibrated - Not Benign,Payload written with `.bin` extension before rename to `.hta` to mask file type during staging; filename `hpsolutionsportal` chosen to resemble a legitimate portal application,victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1218.005,System Binary Proxy Execution: Mshta,Windows,`powershell.exe` spawns `mshta.exe` with `%TEMP%\hpsolutionsportal.hta` as argument,Calibrated - Not Benign,PowerShell executes `mshta.exe` against the dropped HTA file,victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1036.008,Masquerading: Masquerade File Type,Windows,`powershell.exe` reads and executes script content from `%USERPROFILE%\Downloads\cert_bundle.txt` (mismatched `.txt` extension),Calibrated - Not Benign,**Scored** masquerade row: MIME/extension imply certificate bundle while interpreter treats content as PowerShell; richest single artifact tie-in among **T1027.013 / T1036.008 / T1140** for file metadata + execution correlation,victim-workstation,domain user
Step 2 - Execution: HTA Dropper Stages Follow-on Payloads,Execution,T1059.005,Command and Scripting Interpreter: Visual Basic,Windows,"`mshta.exe` executes embedded VBScript from `hpsolutionsportal.hta`; script instantiates `MSXML2.XMLHTTP`, `ADODB.Stream`, `Scripting.FileSystemObject`, and `Shell.Application` COM objects to fetch, write, rename, and execute binaries",Calibrated - Not Benign,HTA embeds VBScript that runs within `mshta.exe`; detection axis is interpreter execution rather than the downstream file-staging activity,victim-workstation,domain user
Step 2 - Execution: HTA Dropper Stages Follow-on Payloads,Command and Control,T1105,Ingress Tool Transfer,Windows,`mshta.exe` writes binary content to `C:\ProgramData\CertCA.bin` and `%APPDATA%\Microsoft\Windows\CertEnrollAgent.bin` via `ADODB.Stream.SaveToFile`,Calibrated - Not Benign,HTA dropper fetches and drops the follow-on payloads to disk; this row captures the dropper's staging behavior rather than the later dnscat2 C2 session,victim-workstation,domain user
Step 2 - Execution: HTA Dropper Stages Follow-on Payloads,Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"`mshta.exe` creates `%APPDATA%\Microsoft\Windows\CertEnrollAgent.bin`, renamed to `CertEnrollAgent.exe` - path and name associated with legitimate Windows Certificate Enrollment components",Calibrated - Not Benign,Herpaderping loader placed under `%APPDATA%\Microsoft\Windows\` with `CertEnrollAgent.exe` name mimicking Windows certificate enrollment service; detection axis is the deceptive path/name choice rather than the broader staging flow,victim-workstation,domain user
Step 2 - Execution: HTA Dropper Stages Follow-on Payloads,Defense Evasion,T1564.003,Hide Artifacts: Hidden Window,Windows,`mshta.exe` terminates its own window after 5 seconds; `mshta.exe` spawns `CertEnrollAgent.exe` with `SW_HIDE` (nShow=0) flag,Not Calibrated - Not Benign,"HTA `stage1.hta` declares `WINDOWSTATE=""minimize""` and `SHOWINTASKBAR=""no""` to keep the window minimized and absent from the taskbar; `window.setTimeout ""self.close"", 5000, ""VBScript""` closes process after execution; `CertEnrollAgent.exe` spawned via `Shell.Application.ShellExecute` with `nShow=0`",victim-workstation,domain user
Step 2 - Execution: HTA Dropper Stages Follow-on Payloads,Command and Control,T1071.001,Application Layer Protocol: Web Protocols,Windows,`mshta.exe` connects to `upload.testlab.local:80` via HTTP; GET requests to `/uploads/dnscat2.exe` and `/uploads/CWLHerpaderping.exe` are issued before file creation events,Calibrated - Not Benign,"HTA VBScript uses `MSXML2.XMLHTTP` to retrieve the staged payloads over HTTP; this captures the dropper transport path, not the later DNS-based C2 channel",victim-workstation,domain user
