File,Step,Summary,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,Red Team Activity,Hosts,Users
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll GetForegroundWindow user activity sandbox evasion loop,Stealth,T1497.002,Virtualization/Sandbox Evasion: User Activity Based Checks,Windows,`EssosUpdate.exe` calls `GetForegroundWindow` repeatedly at ~1-second intervals for up to 60 seconds before spawning `waitfor.exe` - polling loop with no legitimate rationale for a non-UI process; detectable via native API monitoring or process-timeline analysis on WS01,Calibrated - Not Benign,-,"`wsdapi.dll` polls `GetForegroundWindow()` every 1 second in a loop, requiring ≥2 foreground window changes over 60 seconds before proceeding - defeats headless sandbox environments",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll CustomException C++ exception Handler() control-flow obfuscation,Stealth,T1622,Debugger Evasion,Windows,`EssosUpdate.exe` emits a first-chance C++ exception immediately before spawning `waitfor.exe` - exception used as a control-flow gate to reach the injection code path; detectable via ETW exception telemetry or YARA matching the `throw CustomException` + catch-block pattern in `wsdapi.dll`,Calibrated - Not Benign,-,"`Handler()` in `wsdapi.dll` throws `CustomException(""Failed check."")` after sandbox checks pass; the malicious `InjectAndSpawn()` call is placed only inside the `catch` block - never visible on the straight-line CFG; breaks single-step debugger follow-through",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll BCrypt AES-CTR encrypted log write wsdapih.log,Stealth,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,`EssosUpdate.exe` writes `wsdapih.log` to a user-profile directory containing base64-encoded ciphertext - `.log` extension with fully opaque encrypted content and no recognizable log format; detectable via file-write event and content-inspection signature on the written file,Calibrated - Not Benign,-,"`wsdapi.dll` writes an AES-CTR BCrypt-encrypted, base64-wrapped execution log to `%TONESHELL_LOG_DIR%\wsdapih.log`",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll TripleXor-encrypted shellcode blob embedded in .data section,Stealth,T1027.009,Obfuscated Files or Information: Embedded Payloads,Windows,`wsdapi.dll` `.data` section contains a large high-entropy binary blob consistent with an encrypted shellcode payload - detectable via entropy analysis or YARA signature on the PE file at rest or on load into `EssosUpdate.exe`,Calibrated - Not Benign,-,`wsdapi.dll` carries the encrypted shellcode as a compile-time array (`embedded::payload`) stored in the DLL `.data` section; blob is TripleXor-encrypted with a XOR-wrapped key - visible to static PE analysis before any execution,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll Halos Gate ntdll export-walk direct-syscall SSN resolution,Stealth,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,`wsdapi.dll` contains PEB-walking code that parses the `ntdll.dll` export table by RVA order and extracts syscall stub numbers using neighbor-stub fallback - Halos Gate SSN resolution; detectable via static YARA matching the PEB-walk + RVA-sort + SSN-extraction pattern in the DLL binary,Calibrated - Not Benign,-,"`wsdapi.dll` walks the PEB to locate `ntdll.dll` base, parses its export table sorted by function RVA, and resolves syscall stub SSNs for 8 NT functions using neighbor-stub fallback for hooked entries (Halos Gate)",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll Halos Gate ntdll export-walk direct-syscall SSN resolution,Execution,T1106,Native API,Windows,NT syscalls invoked from within `EssosUpdate.exe` with return addresses outside the `ntdll.dll` image bounds - direct-syscall pattern bypassing ntdll wrappers; detectable via kernel ETW callback or call-stack validation at the NT layer,Calibrated - Not Benign,-,"`wsdapi.dll` walks the PEB to locate `ntdll.dll` base, parses its export table sorted by function RVA, and resolves syscall stub SSNs for 8 NT functions using neighbor-stub fallback for hooked entries (Halos Gate)",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll TripleXor shellcode decrypt private RW VirtualAlloc,Stealth,T1140,Deobfuscate/Decode Files or Information,Windows,"`EssosUpdate.exe` allocates a private RW memory region, writes a high-entropy binary blob (encrypted shellcode), and XOR-decrypts in place - private RW allocation containing decoded shellcode pattern detectable via memory scan in `EssosUpdate.exe` address space",Calibrated - Not Benign,-,"`wsdapi.dll` allocates a private RW memory region via `VirtualAlloc`, copies embedded shellcode, and triple-XOR decrypts it in place (key XOR-unwrapped with `0x3F`) - no backing file, no disk artifact",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll waitfor.exe CREATE_SUSPENDED injection host spawn,Execution,T1106,Native API,Windows,"`EssosUpdate.exe` spawns `waitfor.exe /T 99999 <event-name>` with `CREATE_SUSPENDED` and `CREATE_NO_WINDOW` flags - `waitfor.exe` with a near-infinite timeout in a suspended, windowless state has no legitimate workstation baseline; process tree event independently verifiable",Calibrated - Not Benign,-,"`wsdapi.dll` spawns `waitfor.exe /T 99999 Evt8a3f1d7c2e` in a suspended, windowless state (`CREATE_SUSPENDED \| CREATE_NO_WINDOW`) as the shellcode injection target",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll direct-syscall shared-section Early Bird APC shellcode injection waitfor.exe,Stealth,T1055.004,Process Injection: Asynchronous Procedure Call,Windows,`waitfor.exe` resumes from suspended state with an unbacked private RX memory region containing shellcode - detectable via memory scan for RX private allocation not backed by any on-disk image in `waitfor.exe`; ETW records `NtQueueApcThread` targeting `waitfor.exe` thread from `EssosUpdate.exe` before resume,Calibrated - Not Benign,-,"`wsdapi.dll` injects shellcode into suspended `waitfor.exe` via a shared-section flow using direct syscalls: `SysNtCreateSection` (RWX, SEC_COMMIT) → `SysNtMapViewOfSection` into local process (RW) → `memcpy` shellcode → `SysNtMapViewOfSection` into `waitfor.exe` (RX) → `SysNtUnmapViewOfSection` local → `SysNtQueueApcThread` → `SysNtResumeThread`; no cross-process writes, bypasses WdFilter `ObRegisterCallbacks` and ntdll userland hooks; shellcode fires via Early Bird APC before `waitfor.exe` main thread runs",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll direct-syscall shared-section Early Bird APC shellcode injection waitfor.exe,Execution,T1106,Native API,Windows,"`EssosUpdate.exe` invokes `NtCreateSection`, `NtMapViewOfSection`, `NtQueueApcThread`, and `NtResumeThread` via direct syscalls - return addresses on each invocation point outside `ntdll.dll` image bounds; detectable via kernel ETW callback monitoring or call-stack auditing at the driver level",Calibrated - Not Benign,-,"`wsdapi.dll` injects shellcode into suspended `waitfor.exe` via a shared-section flow using direct syscalls: `SysNtCreateSection` (RWX, SEC_COMMIT) → `SysNtMapViewOfSection` into local process (RW) → `memcpy` shellcode → `SysNtMapViewOfSection` into `waitfor.exe` (RX) → `SysNtUnmapViewOfSection` local → `SysNtQueueApcThread` → `SysNtResumeThread`; no cross-process writes, bypasses WdFilter `ObRegisterCallbacks` and ntdll userland hooks; shellcode fires via Early Bird APC before `waitfor.exe` main thread runs",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode FNV1A PEB export-walk API resolution in waitfor.exe,Stealth,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,Shellcode executing in `waitfor.exe` from an unbacked RX region contains PEB-walking and FNV1A hash-computation code for API resolution - no IAT in the shellcode; detectable via in-memory YARA scan matching the FNV1A hash + PEB-walk pattern in the `waitfor.exe` address space,Calibrated - Not Benign,-,"Shellcode running in `waitfor.exe` walks the PEB `InMemoryOrderModuleList` and resolves all target APIs (kernel32, ws2_32, ole32, user32) by FNV1A hash - fully position-independent, no IAT",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode AesLogger AES-CTR encrypted log file write wsdapi_dat.log in waitfor.exe,Stealth,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,`waitfor.exe` creates `C:\Windows\Temp\wsdapi_dat.log` containing fully opaque base64-encoded ciphertext - `.log` file written by an injected process with no legitimate file-write baseline in `C:\Windows\Temp\`; AES-CTR encrypted content carries no recognizable log-format header and is opaque to signature-based inspection before decryption,Calibrated - Not Benign,-,"Shellcode running in `waitfor.exe` calls `AesLogger::InitializeLogger` and creates `C:\Windows\Temp\wsdapi_dat.log` - AES-CTR encrypted, base64-wrapped execution log written on first shellcode execution inside `waitfor.exe`",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode GetComputerNameA hostname collection,Discovery,T1082,System Information Discovery,Windows,`waitfor.exe` calls `GetComputerNameA` - no legitimate baseline for hostname querying in this process on WS01 - immediately before establishing an outbound TCP connection to `192.168.56.2:8443`,Not Calibrated - Not Benign,C1,Shellcode in `waitfor.exe` calls `GetComputerNameA` to collect the victim hostname for inclusion in the C2 registration packet,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode CoCreateGuid victim GUID generation,Execution,T1106,Native API,Windows,`waitfor.exe` invokes `CoCreateGuid` via COM API (no legitimate baseline for COM usage in this process) immediately before writing a 16-byte binary file to `%USERPROFILE%\AppData\Roaming\Microsoft\Web.CompressShaders.config`,Not Calibrated - Not Benign,C1,Shellcode calls `CoCreateGuid` (resolved via `api-ms-win-core-com-l1-1-0.dll` by FNV1A hash) to generate a 16-byte random GUID stored in `ctx->victim_id`; no file artifact at this point - GUID is held in shellcode context for C2 registration and persistence write,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode Web.CompressShaders.config victim GUID masquerading file write,Stealth,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"`waitfor.exe` creates `%USERPROFILE%\AppData\Roaming\Microsoft\Web.CompressShaders.config` containing a 16-byte binary blob - `.config` extension with raw binary (non-XML) content written by `waitfor.exe`, a process with no legitimate association to Microsoft configuration paths",Calibrated - Not Benign,-,"Shellcode writes the 16-byte `ctx->victim_id` GUID to `%USERPROFILE%\AppData\Roaming\Microsoft\Web.CompressShaders.config`, masquerading the artifact as a Microsoft shader cache config file",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode TCP connect to TONESHELL C2 192.168.56.2:8443,Command and Control,T1095,Non-Application Layer Protocol,Windows,"`waitfor.exe` makes repeated outbound raw TCP connections to `192.168.56.2:8443` - no TLS handshake, no HTTP framing; `waitfor.exe` has no legitimate outbound network baseline on WS01",Calibrated - Not Benign,-,"Shellcode in `waitfor.exe` opens a raw TCP socket (`WSAStartup` + `socket(AF_INET, SOCK_STREAM)` + `connect`) to the TONESHELL controller at `192.168.56.2:8443` - no TLS; beacon loop reconnects immediately after a real task or after random 5–30 second jitter on idle",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode XOR-encrypted TONESHELL C2 handshake and beacon loop,Command and Control,T1573.001,Encrypted Channel: Symmetric Cryptography,Windows,"`waitfor.exe` sends TCP payload to `192.168.56.2:8443` beginning with fixed 3-byte magic header (`0xC7 0x3A 0x1F`) followed by XOR-obfuscated body - no TLS, no standard application-layer framing; custom encrypted protocol detectable via EDR network payload inspection or NIDS signature on the magic header pattern",Calibrated - Not Benign,-,Shellcode sends the TONESHELL registration packet (fixed magic `0xC7 0x3A 0x1F` + XOR-encrypted body containing victim hostname and GUID) then enters a beacon loop: immediate reconnect after a real task or random 5–30 second jitter on idle; one-shot `connect → send → recv → close` per beacon cycle,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1B - Variant: BITS-Based Payload Retrieval,BitsDownloader.exe BITS job HTTP retrieval of delivery ZIP,Stealth,T1197,BITS Jobs,Windows,"On WS01: an unsigned user-mode binary `BitsDownloader.exe` (Sysmon EC=1, run from `C:\Users\labuser\Downloads\`, no `bitsadmin.exe` or PowerShell BITS cmdlet anywhere in the tree) enqueues a BITS job - Microsoft-Windows-Bits-Client/Operational job event with RemoteName `http://192.168.56.2:8080/250325_Pentos_Board_Minutes.zip`, destination `C:\Users\labuser\Downloads\250325_Pentos_Board_Minutes.zip`, owner `TESTLAB\labuser`; the resulting outbound HTTP to `192.168.56.2:8080` (Sysmon EC=3/22) and the file write to `Downloads\` (Sysmon EC=11) are performed by `svchost.exe -k netsvcs -s BITS`, not by the calling process - a BITS job created by a non-updater process targeting a non-corporate raw-IP endpoint; baseline: WS01 BITS jobs originate only from Windows Update/MEMCM via svchost, never from a user-writable binary",Calibrated - Not Benign,-,Operator runs `BitsDownloader.exe` on WS01 as `TESTLAB\labuser`; it creates a BITS transfer job through the BITS COM API that downloads `250325_Pentos_Board_Minutes.zip` from `http://192.168.56.2:8080/`; the BITS service (`svchost.exe -k netsvcs -s BITS`) performs the transfer and writes the file to `C:\Users\labuser\Downloads\`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,winword.exe browser navigation to staging.html lure page,Execution,T1204.001,User Execution: Malicious Link,Windows,`winword.exe` spawns a browser child process (`msedge.exe` or `chrome.exe`) navigating to `http://192.168.56.2:8080/staging.html` - Office spawning a browser with a raw-IP HTTP URL is absent from the WS01 Word baseline,Not Calibrated - Not Benign,transport,`labuser` opens `Essos_Compliance_Update.docx` and CTRL+clicks the embedded hyperlink; `winword.exe` triggers browser navigation to `http://192.168.56.2:8080/staging.html`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,browser reconstructs Essos_Compliance_Update.txt from embedded base64,Stealth,T1027.006,Obfuscated Files or Information: HTML Smuggling,Windows,`msedge.exe`/`chrome.exe` writes `C:\Users\labuser\Downloads\Essos_Compliance_Update.txt` with no matching HTTP response carrying that file - client-side assembly from an embedded base64 blob; baseline: WS01 browser writes to Downloads are preceded by a matching network fetch,Calibrated - Not Benign,-,`staging.html` rebuilds `Essos_Compliance_Update.txt` from an embedded base64 blob and writes it to `Downloads\` with no corresponding HTTP GET for the file,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,labuser Win+R paste of pre-loaded PowerShell launcher command,Execution,T1204.004,User Execution: Malicious Copy and Paste,Windows,"`explorer.exe` spawns `powershell.exe` directly from the Run dialog (no shell parent) with `-w h -ep bypass -c ""iex(gc -Raw ...\Downloads\Essos_Compliance_Update.txt)""` - a hidden-window interpreter launched by the desktop shell is absent from the WS01 baseline",Not Calibrated - Not Benign,transport,"Page pre-loads the launcher into the clipboard; `labuser` presses Win+R, pastes, and presses Enter",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,powershell.exe -w h -ep bypass iex(gc -Raw) polyglot launcher,Execution,T1059.001,Command and Scripting Interpreter: PowerShell,Windows,"`powershell.exe` executes with `-w h -ep bypass -c ""iex(gc -Raw '%USERPROFILE%\Downloads\Essos_Compliance_Update.txt')""` - hidden window + execution-policy bypass + `iex` of a Downloads text file; baseline: no such PowerShell invocation on WS01",Not Calibrated - Not Benign,interpreter-spawn,"`powershell.exe` runs with `-w h -ep bypass -c ""iex(gc -Raw '%USERPROFILE%\Downloads\Essos_Compliance_Update.txt')""`",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,powershell.exe FromBase64Transform decode of polyglot PEM body,Stealth,T1140,Deobfuscate/Decode Files or Information,Windows,`powershell.exe` invokes `System.Security.Cryptography.FromBase64Transform` over the contents of `Downloads\Essos_Compliance_Update.txt` and writes the decoded bytes to `%TEMP%\Essos_Compliance_Update.bin` - base64-decode of a user-downloaded file; baseline: FromBase64Transform absent on WS01,Calibrated - Not Benign,-,"PowerShell reads the `.txt`, concatenates the base64 lines, and decodes them via `Security.Cryptography.FromBase64Transform` into a memory stream",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,powershell.exe .bin to .hta rename of decoded payload,Stealth,T1036.008,Masquerading: Masquerade File Type,Windows,`powershell.exe` creates `%TEMP%\Essos_Compliance_Update.hta` by renaming `%TEMP%\Essos_Compliance_Update.bin` - a decoded payload re-extensioned from `.bin` to executable `.hta`; baseline: no interpreter writes a `.hta` into `%TEMP%` on WS01,Calibrated - Not Benign,-,PowerShell writes `%TEMP%\Essos_Compliance_Update.bin` then renames it to `%TEMP%\Essos_Compliance_Update.hta`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,powershell.exe mshta.exe HTA launch,Stealth,T1218.005,System Binary Proxy Execution: Mshta,Windows,`powershell.exe` spawns `mshta.exe` with `%TEMP%\Essos_Compliance_Update.hta` as its argument - a scripting interpreter launching the signed `mshta.exe` proxy on a temp HTA; baseline: no powershell→mshta parent-child pair on WS01,Calibrated - Not Benign,-,PowerShell spawns `mshta.exe` on `%TEMP%\Essos_Compliance_Update.hta`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,mshta.exe Window_OnLoad VBScript HTA execution,Execution,T1059.005,Command and Scripting Interpreter: Visual Basic,Windows,"`mshta.exe` executes inline VBScript from `%TEMP%\Essos_Compliance_Update.hta` instantiating `MSXML2.DOMDocument`, `ADODB.Stream`, and `Shell.Application` - AMSI/script telemetry records VBScript COM instantiation from a temp HTA; baseline: mshta running inline VBScript is absent on WS01",Calibrated - Not Benign,-,"HTA `Window_OnLoad` VBScript instantiates `MSXML2.DOMDocument`, `ADODB.Stream`, and `Shell.Application` COM objects to decode and stage the loader",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,mshta.exe EssosUpdate.exe and wsdapi.dll embedded base64 drop,Stealth,T1027.009,Obfuscated Files or Information: Embedded Payloads,Windows,"`mshta.exe` writes two PE binaries - `EssosUpdate.exe` and `wsdapi.dll` - to `C:\Users\labuser\AppData\Local\Temp\`, decoded from base64 embedded in the HTA; baseline: mshta.exe creating executable images in `%TEMP%` is absent on WS01",Calibrated - Not Benign,-,"`mshta.exe` writes two PE binaries - `EssosUpdate.exe` and `wsdapi.dll` - to `%TEMP%`, decoded from base64 blobs embedded in the HTA",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1C - Variant: HTML Smuggling to HTA Loader,mshta.exe hidden EssosUpdate.exe loader launch,Stealth,T1564.003,Hide Artifacts: Hidden Window,Windows,"`mshta.exe` spawns `%TEMP%\EssosUpdate.exe` as a hidden child process (`Shell.Application.ShellExecute`, `nShow=0`) then exits - mshta launching a freshly-dropped `%TEMP%` PE with no visible window; baseline: mshta.exe has no child-process baseline on WS01",Not Calibrated - Not Benign,C2,"`mshta.exe` calls `Shell.Application.ShellExecute` on `%TEMP%\EssosUpdate.exe` with `nShow=0` (hidden), then closes itself",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 - Discovery: Local Host Profiling and NetBIOS Enumeration,TONESHELL FILE_UPLOAD WNetHelper.exe to WS01 disk,Command and Control,T1105,Ingress Tool Transfer,Windows,"`waitfor.exe` (shellcode-injected process with unbacked private RX memory) writes PE-format binary `WNetHelper.exe` to `C:\Windows\Temp\` - file write from an injected non-system process to a world-writable directory; `WNetHelper.exe` is an unsigned .NET PE without Authenticode signature, YARA-detectable at write time on the capability-scan surface",Calibrated - Not Benign,-,Red team uses TONESHELL `put` task to write `WNetHelper.exe` to `C:\Windows\Temp\` on WS01,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 - Discovery: Local Host Profiling and NetBIOS Enumeration,"WNetHelper reads hostname, domain, and OS version via Environment properties and WMI Win32_OperatingSystem",Discovery,T1082,System Information Discovery,Windows,`WNetHelper.exe` (unsigned binary from `C:\Windows\Temp\`) issues a WMI query against `Win32_OperatingSystem` - ETW `Microsoft-Windows-WMI-Activity` provider records an anomalous WMI consumer from a non-system binary in a world-writable path performing OS information retrieval,Not Calibrated - Not Benign,native-recon,"`WNetHelper.exe local` reads `Environment.MachineName`, `UserDomainName`, `OSVersion` and issues a single WMI query against `Win32_OperatingSystem` on WS01; no child process spawned",WS01 (10.12.10.30),TESTLAB\labuser
