Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,ACW,Red Team Activity,Hosts,Users,Detection ID,Detection Description,Log Source,Event Filter,Data Component
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"`node.exe` reads each `.b64` file and writes decoded bytes to a `.bin` staging file, then renames to `.exe`; separately decodes `dnscat2-disk.b64` to `C:\ProgramData\CertCA.bin`; all file operations on IIS01",Calibrated - Not Benign,Medium,`decode` decodes base64 files to PE bytes using Node.js `Buffer` API via eval; `rename` promotes `.bin` to `.exe` — no spawn at any staging step,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0767,"An adversary leverages built-in tools such as certutil.exe, powershell.exe, or copy.exe to decode, reassemble, or extract hidden malicious content from obfuscated containers or encoded formats. The decoding utility often spawns shortly after file staging or download and may be chained with script interpreters or further payload execution.",WinEventLog:Sysmon,EventCode=1,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"`node.exe` reads each `.b64` file and writes decoded bytes to a `.bin` staging file, then renames to `.exe`; separately decodes `dnscat2-disk.b64` to `C:\ProgramData\CertCA.bin`; all file operations on IIS01",Calibrated - Not Benign,Medium,`decode` decodes base64 files to PE bytes using Node.js `Buffer` API via eval; `rename` promotes `.bin` to `.exe` — no spawn at any staging step,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0767,"An adversary leverages built-in tools such as certutil.exe, powershell.exe, or copy.exe to decode, reassemble, or extract hidden malicious content from obfuscated containers or encoded formats. The decoding utility often spawns shortly after file staging or download and may be chained with script interpreters or further payload execution.",WinEventLog:Sysmon,EventCode=11,File Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"`node.exe` reads each `.b64` file and writes decoded bytes to a `.bin` staging file, then renames to `.exe`; separately decodes `dnscat2-disk.b64` to `C:\ProgramData\CertCA.bin`; all file operations on IIS01",Calibrated - Not Benign,Medium,`decode` decodes base64 files to PE bytes using Node.js `Buffer` API via eval; `rename` promotes `.bin` to `.exe` — no spawn at any staging step,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0767,"An adversary leverages built-in tools such as certutil.exe, powershell.exe, or copy.exe to decode, reassemble, or extract hidden malicious content from obfuscated containers or encoded formats. The decoding utility often spawns shortly after file staging or download and may be chained with script interpreters or further payload execution.",WinEventLog:Sysmon,EventCode=10,Process Access
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.001,Access Token Manipulation: Token Impersonation/Theft,Windows,Sysmon Event 1 on IIS01: `CertEnrollAgent.exe` spawned by `CertEnrollSvc.exe` (IIS APPPOOL\react.testlab.local); `CertEnrollAgent.exe` process token context shows `NT AUTHORITY\SYSTEM` — AppPool identity producing a SYSTEM-privileged child is the primary observable of the EfsPotato named-pipe token impersonation chain,Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc uses `SeImpersonatePrivilege` to obtain SYSTEM token via named-pipe impersonation; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1324,"Detection of token duplication and impersonation attempts by correlating suspicious command-line executions (e.g., runas) with API calls to DuplicateToken, DuplicateTokenEx, ImpersonateLoggedOnUser, or SetThreadToken. The chain includes the initial command execution or in-memory API invocation → token handle duplication or thread token assignment → a new or existing process assuming the impersonated user's context.",WinEventLog:Security,EventCode=4688,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.001,Access Token Manipulation: Token Impersonation/Theft,Windows,Sysmon Event 1 on IIS01: `CertEnrollAgent.exe` spawned by `CertEnrollSvc.exe` (IIS APPPOOL\react.testlab.local); `CertEnrollAgent.exe` process token context shows `NT AUTHORITY\SYSTEM` — AppPool identity producing a SYSTEM-privileged child is the primary observable of the EfsPotato named-pipe token impersonation chain,Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc uses `SeImpersonatePrivilege` to obtain SYSTEM token via named-pipe impersonation; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1324,"Detection of token duplication and impersonation attempts by correlating suspicious command-line executions (e.g., runas) with API calls to DuplicateToken, DuplicateTokenEx, ImpersonateLoggedOnUser, or SetThreadToken. The chain includes the initial command execution or in-memory API invocation → token handle duplication or thread token assignment → a new or existing process assuming the impersonated user's context.",WinEventLog:Sysmon,EventCode=10,Process Access
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.001,Access Token Manipulation: Token Impersonation/Theft,Windows,Sysmon Event 1 on IIS01: `CertEnrollAgent.exe` spawned by `CertEnrollSvc.exe` (IIS APPPOOL\react.testlab.local); `CertEnrollAgent.exe` process token context shows `NT AUTHORITY\SYSTEM` — AppPool identity producing a SYSTEM-privileged child is the primary observable of the EfsPotato named-pipe token impersonation chain,Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc uses `SeImpersonatePrivilege` to obtain SYSTEM token via named-pipe impersonation; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1324,"Detection of token duplication and impersonation attempts by correlating suspicious command-line executions (e.g., runas) with API calls to DuplicateToken, DuplicateTokenEx, ImpersonateLoggedOnUser, or SetThreadToken. The chain includes the initial command execution or in-memory API invocation → token handle duplication or thread token assignment → a new or existing process assuming the impersonated user's context.",ETW:Token,"api_call: DuplicateTokenEx, ImpersonateLoggedOnUser, SetThreadToken",OS API Execution
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.002,Access Token Manipulation: Create Process with Token,Windows,`CertEnrollSvc.exe` calls `CreateProcessAsUser` with the impersonated token; child process (`CertEnrollAgent.exe`) is created with `CREATE_NO_WINDOW` (`0x08000000`),Not Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc spawns CertEnrollAgent as SYSTEM using the impersonated token; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1253,A process (often after stealing/creating a token) calls CreateProcessWithTokenW/CreateProcessAsUserW or uses runas to spawn a **new** process whose security context (SID/LogonId/IntegrityLevel) differs from its parent. Chain: (1) suspicious command/API → (2) privileged handle or token duplication/open → (3) new child process running as another user / higher integrity → (4) optional follow‑on privileged/lateral actions.,WinEventLog:Security,EventCode=4688,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.002,Access Token Manipulation: Create Process with Token,Windows,`CertEnrollSvc.exe` calls `CreateProcessAsUser` with the impersonated token; child process (`CertEnrollAgent.exe`) is created with `CREATE_NO_WINDOW` (`0x08000000`),Not Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc spawns CertEnrollAgent as SYSTEM using the impersonated token; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1253,A process (often after stealing/creating a token) calls CreateProcessWithTokenW/CreateProcessAsUserW or uses runas to spawn a **new** process whose security context (SID/LogonId/IntegrityLevel) differs from its parent. Chain: (1) suspicious command/API → (2) privileged handle or token duplication/open → (3) new child process running as another user / higher integrity → (4) optional follow‑on privileged/lateral actions.,WinEventLog:Sysmon,EventCode=10,Process Access
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.002,Access Token Manipulation: Create Process with Token,Windows,`CertEnrollSvc.exe` calls `CreateProcessAsUser` with the impersonated token; child process (`CertEnrollAgent.exe`) is created with `CREATE_NO_WINDOW` (`0x08000000`),Not Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc spawns CertEnrollAgent as SYSTEM using the impersonated token; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1253,A process (often after stealing/creating a token) calls CreateProcessWithTokenW/CreateProcessAsUserW or uses runas to spawn a **new** process whose security context (SID/LogonId/IntegrityLevel) differs from its parent. Chain: (1) suspicious command/API → (2) privileged handle or token duplication/open → (3) new child process running as another user / higher integrity → (4) optional follow‑on privileged/lateral actions.,ETW:ProcThread,"api_call: CreateProcessWithTokenW, CreateProcessAsUserW",OS API Execution
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.002,Access Token Manipulation: Create Process with Token,Windows,`CertEnrollSvc.exe` calls `CreateProcessAsUser` with the impersonated token; child process (`CertEnrollAgent.exe`) is created with `CREATE_NO_WINDOW` (`0x08000000`),Not Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc spawns CertEnrollAgent as SYSTEM using the impersonated token; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1253,A process (often after stealing/creating a token) calls CreateProcessWithTokenW/CreateProcessAsUserW or uses runas to spawn a **new** process whose security context (SID/LogonId/IntegrityLevel) differs from its parent. Chain: (1) suspicious command/API → (2) privileged handle or token duplication/open → (3) new child process running as another user / higher integrity → (4) optional follow‑on privileged/lateral actions.,WinEventLog:Security,"EventCode=4672, 4634",Logon Session Metadata
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Privilege Escalation,T1134.002,Access Token Manipulation: Create Process with Token,Windows,`CertEnrollSvc.exe` calls `CreateProcessAsUser` with the impersonated token; child process (`CertEnrollAgent.exe`) is created with `CREATE_NO_WINDOW` (`0x08000000`),Not Calibrated - Not Benign,Critical,Step 1A: CertEnrollSvc spawns CertEnrollAgent as SYSTEM using the impersonated token; implementation details in [efspotato.md](../further-reading/efspotato.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1253,A process (often after stealing/creating a token) calls CreateProcessWithTokenW/CreateProcessAsUserW or uses runas to spawn a **new** process whose security context (SID/LogonId/IntegrityLevel) differs from its parent. Chain: (1) suspicious command/API → (2) privileged handle or token duplication/open → (3) new child process running as another user / higher integrity → (4) optional follow‑on privileged/lateral actions.,WinEventLog:Security,EventCode=5136,Active Directory Object Modification
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1562.006,Impair Defenses: Indicator Blocking,Windows,"**Opt-in (build with `-DENABLE_ETW_PATCH`)**: `CertEnrollAgent.exe` patches `ntdll!EtwEventWrite` in its own process memory to `xor eax,eax; ret` after changing the code page protection, causing subsequent ETW writes from the loader process to return fake success; not present in default build",Not Calibrated - Not Benign,Low,CWLHerpaderping tampers with ETW before entering the sensitive loader flow; only active when compiled with `ENABLE_ETW_PATCH` preprocessor flag — see [build.md](../../resources/payloads/CWLHerpaderping/build.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN0667,"Correlates registry modifications to EventLog or WMI Autologger keys, suspicious use of Set-EtwTraceProvider, and Sysmon configuration changes. Defender sees interruption or redirection of ETW and log event collection.",WinEventLog:Sysmon,EventCode=16,Host Status
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1562.006,Impair Defenses: Indicator Blocking,Windows,"**Opt-in (build with `-DENABLE_ETW_PATCH`)**: `CertEnrollAgent.exe` patches `ntdll!EtwEventWrite` in its own process memory to `xor eax,eax; ret` after changing the code page protection, causing subsequent ETW writes from the loader process to return fake success; not present in default build",Not Calibrated - Not Benign,Low,CWLHerpaderping tampers with ETW before entering the sensitive loader flow; only active when compiled with `ENABLE_ETW_PATCH` preprocessor flag — see [build.md](../../resources/payloads/CWLHerpaderping/build.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN0667,"Correlates registry modifications to EventLog or WMI Autologger keys, suspicious use of Set-EtwTraceProvider, and Sysmon configuration changes. Defender sees interruption or redirection of ETW and log event collection.",WinEventLog:Security,EventCode=4657,Windows Registry Key Modification
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Execution,T1106,Native API,Windows,"`CertEnrollAgent.exe` resolves native NT APIs from `ntdll.dll`, builds indirect syscall stubs, and uses them for `NtCreateSection`, `NtCreateProcessEx`, `NtAllocateVirtualMemory`, `NtWriteVirtualMemory`, and `NtCreateThreadEx` during the Herpaderping flow",Not Calibrated - Not Benign,Medium,"CWLHerpaderping invokes the sensitive process-creation path through indirect syscalls; the loader also wraps those calls with stack spoofing, but the primary ATT&CK behavior here is native API / syscall execution",react.testlab.local,NT AUTHORITY\SYSTEM,AN1465,"Unusual or suspicious processes loading critical native API DLLs (e.g., ntdll.dll, kernel32.dll) followed by direct syscall behavior, memory manipulation, or hollowing.",WinEventLog:Sysmon,EventCode=7,Module Load
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Execution,T1106,Native API,Windows,"`CertEnrollAgent.exe` resolves native NT APIs from `ntdll.dll`, builds indirect syscall stubs, and uses them for `NtCreateSection`, `NtCreateProcessEx`, `NtAllocateVirtualMemory`, `NtWriteVirtualMemory`, and `NtCreateThreadEx` during the Herpaderping flow",Not Calibrated - Not Benign,Medium,"CWLHerpaderping invokes the sensitive process-creation path through indirect syscalls; the loader also wraps those calls with stack spoofing, but the primary ATT&CK behavior here is native API / syscall execution",react.testlab.local,NT AUTHORITY\SYSTEM,AN1465,"Unusual or suspicious processes loading critical native API DLLs (e.g., ntdll.dll, kernel32.dll) followed by direct syscall behavior, memory manipulation, or hollowing.",WinEventLog:Sysmon,EventCode=10,Process Access
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Execution,T1106,Native API,Windows,"`CertEnrollAgent.exe` resolves native NT APIs from `ntdll.dll`, builds indirect syscall stubs, and uses them for `NtCreateSection`, `NtCreateProcessEx`, `NtAllocateVirtualMemory`, `NtWriteVirtualMemory`, and `NtCreateThreadEx` during the Herpaderping flow",Not Calibrated - Not Benign,Medium,"CWLHerpaderping invokes the sensitive process-creation path through indirect syscalls; the loader also wraps those calls with stack spoofing, but the primary ATT&CK behavior here is native API / syscall execution",react.testlab.local,NT AUTHORITY\SYSTEM,AN1465,"Unusual or suspicious processes loading critical native API DLLs (e.g., ntdll.dll, kernel32.dll) followed by direct syscall behavior, memory manipulation, or hollowing.",WinEventLog:Sysmon,EventCode=1,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1055,Process Injection,Windows,`CertEnrollAgent.exe` (NT AUTHORITY\SYSTEM) creates `%SystemRoot%\Temp\HD*.tmp`; `RuntimeBroker.exe` ghost spawned with `CertEnrollAgent.exe` as parent and no matching on-disk image at `C:\Windows\System32\RuntimeBroker.exe`; `HD*.tmp` content subsequently overwritten on IIS01 — characteristic Herpaderping file-write-then-overwrite sequence,Calibrated - Not Benign,High,"Step 1A: CWLHerpaderping performs process-herpaderping-style injection: dnscat2 payload enters ghost process through image section, not via WriteProcessMemory; later remote writes used for metadata spoofing",react.testlab.local,NT AUTHORITY\SYSTEM,AN1399,"Detects process injection by correlating memory manipulation API calls (e.g., VirtualAllocEx, WriteProcessMemory), suspicious thread creation (e.g., CreateRemoteThread), and unusual DLL loads within another process's context.",WinEventLog:Sysmon,EventCode=10,Process Access
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1055,Process Injection,Windows,`CertEnrollAgent.exe` (NT AUTHORITY\SYSTEM) creates `%SystemRoot%\Temp\HD*.tmp`; `RuntimeBroker.exe` ghost spawned with `CertEnrollAgent.exe` as parent and no matching on-disk image at `C:\Windows\System32\RuntimeBroker.exe`; `HD*.tmp` content subsequently overwritten on IIS01 — characteristic Herpaderping file-write-then-overwrite sequence,Calibrated - Not Benign,High,"Step 1A: CWLHerpaderping performs process-herpaderping-style injection: dnscat2 payload enters ghost process through image section, not via WriteProcessMemory; later remote writes used for metadata spoofing",react.testlab.local,NT AUTHORITY\SYSTEM,AN1399,"Detects process injection by correlating memory manipulation API calls (e.g., VirtualAllocEx, WriteProcessMemory), suspicious thread creation (e.g., CreateRemoteThread), and unusual DLL loads within another process's context.",WinEventLog:Sysmon,EventCode=1,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1055,Process Injection,Windows,`CertEnrollAgent.exe` (NT AUTHORITY\SYSTEM) creates `%SystemRoot%\Temp\HD*.tmp`; `RuntimeBroker.exe` ghost spawned with `CertEnrollAgent.exe` as parent and no matching on-disk image at `C:\Windows\System32\RuntimeBroker.exe`; `HD*.tmp` content subsequently overwritten on IIS01 — characteristic Herpaderping file-write-then-overwrite sequence,Calibrated - Not Benign,High,"Step 1A: CWLHerpaderping performs process-herpaderping-style injection: dnscat2 payload enters ghost process through image section, not via WriteProcessMemory; later remote writes used for metadata spoofing",react.testlab.local,NT AUTHORITY\SYSTEM,AN1399,"Detects process injection by correlating memory manipulation API calls (e.g., VirtualAllocEx, WriteProcessMemory), suspicious thread creation (e.g., CreateRemoteThread), and unusual DLL loads within another process's context.",WinEventLog:Sysmon,EventCode=7,Module Load
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1055,Process Injection,Windows,`CertEnrollAgent.exe` (NT AUTHORITY\SYSTEM) creates `%SystemRoot%\Temp\HD*.tmp`; `RuntimeBroker.exe` ghost spawned with `CertEnrollAgent.exe` as parent and no matching on-disk image at `C:\Windows\System32\RuntimeBroker.exe`; `HD*.tmp` content subsequently overwritten on IIS01 — characteristic Herpaderping file-write-then-overwrite sequence,Calibrated - Not Benign,High,"Step 1A: CWLHerpaderping performs process-herpaderping-style injection: dnscat2 payload enters ghost process through image section, not via WriteProcessMemory; later remote writes used for metadata spoofing",react.testlab.local,NT AUTHORITY\SYSTEM,AN1399,"Detects process injection by correlating memory manipulation API calls (e.g., VirtualAllocEx, WriteProcessMemory), suspicious thread creation (e.g., CreateRemoteThread), and unusual DLL loads within another process's context.",etw:Microsoft-Windows-Kernel-Process,API calls,OS API Execution
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1134.004,Access Token Manipulation: Parent PID Spoofing,Windows,`CertEnrollAgent.exe` spawns `RuntimeBroker.exe` ghost process with PPID spoofed to `svchost.exe` or `wininit.exe` (Session 0) on IIS01,Calibrated - Not Benign,Medium,Step 1A: CertEnrollAgent chooses Session 0 parent for ghost process; implementation details in [process-herpaderping.md](../further-reading/process-herpaderping.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1351,"A process explicitly forges its parent using EXTENDED_STARTUPINFO + PROC_THREAD_ATTRIBUTE_PARENT_PROCESS (UpdateProcThreadAttribute → CreateProcess[A/W]/CreateProcessAsUserW) or other Native API paths, resulting in **mismatched/implausible lineage** across ETW EventHeader ProcessId, Security 4688 Creator Process ID/Name, and sysmon ParentProcessGuid. Often paired with privilege escalation when the chosen parent runs as SYSTEM.",WinEventLog:Security,EventCode=4688,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1134.004,Access Token Manipulation: Parent PID Spoofing,Windows,`CertEnrollAgent.exe` spawns `RuntimeBroker.exe` ghost process with PPID spoofed to `svchost.exe` or `wininit.exe` (Session 0) on IIS01,Calibrated - Not Benign,Medium,Step 1A: CertEnrollAgent chooses Session 0 parent for ghost process; implementation details in [process-herpaderping.md](../further-reading/process-herpaderping.md),react.testlab.local,NT AUTHORITY\SYSTEM,AN1351,"A process explicitly forges its parent using EXTENDED_STARTUPINFO + PROC_THREAD_ATTRIBUTE_PARENT_PROCESS (UpdateProcThreadAttribute → CreateProcess[A/W]/CreateProcessAsUserW) or other Native API paths, resulting in **mismatched/implausible lineage** across ETW EventHeader ProcessId, Security 4688 Creator Process ID/Name, and sysmon ParentProcessGuid. Often paired with privilege escalation when the chosen parent runs as SYSTEM.",etw:Microsoft-Windows-Kernel-Process,process_start: EventHeader.ProcessId true parent vs reported PPID mismatch,Process Metadata
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1070.004,Indicator Removal: File Deletion,Windows,`CertEnrollAgent.exe` deletes `C:\ProgramData\CertCA.bin` from disk after loading the PE,Calibrated - Not Benign,Medium,Step 1A: CWLHerpaderping deletes the dnscat2 payload file after loading to remove forensic evidence; file deletion occurs in fallback mode when stdin is not redirected,react.testlab.local,NT AUTHORITY\SYSTEM,AN0392,"Detects adversary behavior deleting artifacts (e.g., dropped payloads, evidence files) using native or external utilities (e.g., del, erase, SDelete). Detects deletion events correlated with unusual process lineage or timing post-execution.",WinEventLog:Sysmon,EventCode=23,File Deletion
