File,Step,Summary,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,ACW,Red Team Activity,Hosts,Users,Detection ID,Detection Description,Log Source,Event Filter,Data Component
Phase 1.md,Step 1 — Initial Access & Payload Staging,dnscat2 XOR-encoded PE write to CertCA.enc,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe writes binary file C:\ProgramData\CertCA.enc on IIS01 — node.exe writing to C:\ProgramData\ is anomalous for an IIS web worker; file-create event (Sysmon EID 11) attributes the write to node.exe,Not Calibrated - Not Benign,redundant@T1027.013,High,"`stage --encrypt` reads dnscat2 PE locally, XOR-encodes in Python memory (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`), base64-encodes, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded XOR-encoded bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,EventCode=11,File Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,dnscat2 XOR-encoded PE write to CertCA.enc,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe writes binary file C:\ProgramData\CertCA.enc on IIS01 — node.exe writing to C:\ProgramData\ is anomalous for an IIS web worker; file-create event (Sysmon EID 11) attributes the write to node.exe,Not Calibrated - Not Benign,redundant@T1027.013,High,"`stage --encrypt` reads dnscat2 PE locally, XOR-encodes in Python memory (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`), base64-encodes, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded XOR-encoded bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,EfsPotato PE base64-stream write to CertEnrollSvc.bin,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe writes binary file C:\Windows\Temp\CertEnrollSvc.bin on IIS01 — node.exe writing an executable-class binary to C:\Windows\Temp\ is anomalous for an IIS web worker; file-create event (Sysmon EID 11) attributes the write to node.exe,Calibrated - Not Benign,-,High,"`stage` reads EfsPotato PE locally, base64-encodes in Python memory, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded binary bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,"EventCode=3, 22",Network Connection Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,EfsPotato PE base64-stream write to CertEnrollSvc.bin,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe writes binary file C:\Windows\Temp\CertEnrollSvc.bin on IIS01 — node.exe writing an executable-class binary to C:\Windows\Temp\ is anomalous for an IIS web worker; file-create event (Sysmon EID 11) attributes the write to node.exe,Calibrated - Not Benign,-,High,"`stage` reads EfsPotato PE locally, base64-encodes in Python memory, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded binary bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,EventCode=11,File Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,EfsPotato PE base64-stream write to CertEnrollSvc.bin,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe writes binary file C:\Windows\Temp\CertEnrollSvc.bin on IIS01 — node.exe writing an executable-class binary to C:\Windows\Temp\ is anomalous for an IIS web worker; file-create event (Sysmon EID 11) attributes the write to node.exe,Calibrated - Not Benign,-,High,"`stage` reads EfsPotato PE locally, base64-encodes in Python memory, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded binary bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,dnscat2 PE position-dependent XOR obfuscation on disk,Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"C:\ProgramData\CertCA.enc on IIS01 has no valid MZ/PE signature (first byte 0xEE, not 0x4D); YARA or entropy analysis with position-dependent XOR recovers a valid PE structure, confirming the file is an obfuscated executable; artifact is independently scannable from disk",Calibrated - Not Benign,-,Medium,`stage --encrypt` applies position-dependent XOR (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`) to the dnscat2 PE in Python memory before base64-encoding and streaming to target; formula is self-inverse and matches `PAYLOAD_XOR_BASE`/`PAYLOAD_XOR_STEP` constants in CWLHerpaderping,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0237,"Detection of processes that load or decode encrypted/encoded files in memory and subsequently execute or inject them, indicating payload unpacking or memory-resident malware.",WinEventLog:Sysmon,EventCode=7,Module Load
Phase 1.md,Step 1 — Initial Access & Payload Staging,dnscat2 PE position-dependent XOR obfuscation on disk,Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"C:\ProgramData\CertCA.enc on IIS01 has no valid MZ/PE signature (first byte 0xEE, not 0x4D); YARA or entropy analysis with position-dependent XOR recovers a valid PE structure, confirming the file is an obfuscated executable; artifact is independently scannable from disk",Calibrated - Not Benign,-,Medium,`stage --encrypt` applies position-dependent XOR (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`) to the dnscat2 PE in Python memory before base64-encoding and streaming to target; formula is self-inverse and matches `PAYLOAD_XOR_BASE`/`PAYLOAD_XOR_STEP` constants in CWLHerpaderping,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0237,"Detection of processes that load or decode encrypted/encoded files in memory and subsequently execute or inject them, indicating payload unpacking or memory-resident malware.",WinEventLog:Sysmon,EventCode=10,Process Access
Phase 1.md,Step 1 — Initial Access & Payload Staging,dnscat2 PE position-dependent XOR obfuscation on disk,Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"C:\ProgramData\CertCA.enc on IIS01 has no valid MZ/PE signature (first byte 0xEE, not 0x4D); YARA or entropy analysis with position-dependent XOR recovers a valid PE structure, confirming the file is an obfuscated executable; artifact is independently scannable from disk",Calibrated - Not Benign,-,Medium,`stage --encrypt` applies position-dependent XOR (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`) to the dnscat2 PE in Python memory before base64-encoding and streaming to target; formula is self-inverse and matches `PAYLOAD_XOR_BASE`/`PAYLOAD_XOR_STEP` constants in CWLHerpaderping,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0237,"Detection of processes that load or decode encrypted/encoded files in memory and subsequently execute or inject them, indicating payload unpacking or memory-resident malware.",WinEventLog:Security,EventCode=4688,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,CertEnrollSvc.exe Windows PKI service name masquerade,Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"CertEnrollSvc.exe present in C:\Windows\Temp\ on IIS01 — filename impersonates a Windows Certificate Enrollment service component but is placed in a non-standard user-writable directory rather than System32; written by node.exe (via fs.renameSync eval, no child spawn), not by a Windows PKI installer",Calibrated - Not Benign,-,Medium,`rename` promotes `.bin` to `.exe`; tool named to mimic a legitimate Windows service process (`certenrollsvc`) to reduce suspicion on process creation events,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0983,"Detects processes or binaries executed from trusted directories (e.g., System32) or using trusted names (e.g., svchost.exe) where the metadata, hash, or parent process does not align with legitimate activity patterns.",WinEventLog:Security,EventCode=4688,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,CertEnrollSvc.exe Windows PKI service name masquerade,Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"CertEnrollSvc.exe present in C:\Windows\Temp\ on IIS01 — filename impersonates a Windows Certificate Enrollment service component but is placed in a non-standard user-writable directory rather than System32; written by node.exe (via fs.renameSync eval, no child spawn), not by a Windows PKI installer",Calibrated - Not Benign,-,Medium,`rename` promotes `.bin` to `.exe`; tool named to mimic a legitimate Windows service process (`certenrollsvc`) to reduce suspicion on process creation events,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0983,"Detects processes or binaries executed from trusted directories (e.g., System32) or using trusted names (e.g., svchost.exe) where the metadata, hash, or parent process does not align with legitimate activity patterns.",WinEventLog:Sysmon,EventCode=11,File Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval charcode chunk-stream dnscat2 to CertCA.enc,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: eval(String.fromCharCode(...)) chunk-streaming and global.__stageBuffer accumulation occur within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the CertCA.enc file-create event on IIS01, which is attributed to T1105/T1027.013, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`stage --encrypt` eval path: node.exe evaluates charcode-encoded JavaScript via `eval(String.fromCharCode(...))` to stream XOR-encoded dnscat2 base64 chunks into `global.__stageBuffer` across N injections (`global.__stageBuffer='<chunk>'` / `global.__stageBuffer+='<chunk>'`), then flushes decoded bytes to `C:\ProgramData\CertCA.enc` via `process.mainModule.require('fs').writeFileSync(dest, Buffer.from(global.__stageBuffer,'base64'))` and `delete global.__stageBuffer`; no `child_process` module invoked; all file ops performed entirely via in-process Node.js `fs` API",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval charcode chunk-stream dnscat2 to CertCA.enc,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: eval(String.fromCharCode(...)) chunk-streaming and global.__stageBuffer accumulation occur within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the CertCA.enc file-create event on IIS01, which is attributed to T1105/T1027.013, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`stage --encrypt` eval path: node.exe evaluates charcode-encoded JavaScript via `eval(String.fromCharCode(...))` to stream XOR-encoded dnscat2 base64 chunks into `global.__stageBuffer` across N injections (`global.__stageBuffer='<chunk>'` / `global.__stageBuffer+='<chunk>'`), then flushes decoded bytes to `C:\ProgramData\CertCA.enc` via `process.mainModule.require('fs').writeFileSync(dest, Buffer.from(global.__stageBuffer,'base64'))` and `delete global.__stageBuffer`; no `child_process` module invoked; all file ops performed entirely via in-process Node.js `fs` API",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",m365:defender,ScriptBlockLogging + AMSI,Script Execution
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval charcode chunk-stream dnscat2 to CertCA.enc,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: eval(String.fromCharCode(...)) chunk-streaming and global.__stageBuffer accumulation occur within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the CertCA.enc file-create event on IIS01, which is attributed to T1105/T1027.013, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`stage --encrypt` eval path: node.exe evaluates charcode-encoded JavaScript via `eval(String.fromCharCode(...))` to stream XOR-encoded dnscat2 base64 chunks into `global.__stageBuffer` across N injections (`global.__stageBuffer='<chunk>'` / `global.__stageBuffer+='<chunk>'`), then flushes decoded bytes to `C:\ProgramData\CertCA.enc` via `process.mainModule.require('fs').writeFileSync(dest, Buffer.from(global.__stageBuffer,'base64'))` and `delete global.__stageBuffer`; no `child_process` module invoked; all file ops performed entirely via in-process Node.js `fs` API",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=7,Module Load
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval charcode chunk-stream EfsPotato to CertEnrollSvc.bin,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: eval(String.fromCharCode(...)) chunk-streaming and global.__stageBuffer accumulation occur within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the CertEnrollSvc.bin file-create event on IIS01, which is attributed to T1105, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`stage` eval path: node.exe evaluates charcode-encoded JavaScript via `eval(String.fromCharCode(...))` to stream EfsPotato base64 chunks into `global.__stageBuffer` across N injections, then flushes decoded bytes to `C:\Windows\Temp\CertEnrollSvc.bin` via `process.mainModule.require('fs').writeFileSync(dest, Buffer.from(global.__stageBuffer,'base64'))` and `delete global.__stageBuffer`; no `child_process` module invoked",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval charcode chunk-stream EfsPotato to CertEnrollSvc.bin,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: eval(String.fromCharCode(...)) chunk-streaming and global.__stageBuffer accumulation occur within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the CertEnrollSvc.bin file-create event on IIS01, which is attributed to T1105, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`stage` eval path: node.exe evaluates charcode-encoded JavaScript via `eval(String.fromCharCode(...))` to stream EfsPotato base64 chunks into `global.__stageBuffer` across N injections, then flushes decoded bytes to `C:\Windows\Temp\CertEnrollSvc.bin` via `process.mainModule.require('fs').writeFileSync(dest, Buffer.from(global.__stageBuffer,'base64'))` and `delete global.__stageBuffer`; no `child_process` module invoked",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",m365:defender,ScriptBlockLogging + AMSI,Script Execution
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval charcode chunk-stream EfsPotato to CertEnrollSvc.bin,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: eval(String.fromCharCode(...)) chunk-streaming and global.__stageBuffer accumulation occur within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the CertEnrollSvc.bin file-create event on IIS01, which is attributed to T1105, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`stage` eval path: node.exe evaluates charcode-encoded JavaScript via `eval(String.fromCharCode(...))` to stream EfsPotato base64 chunks into `global.__stageBuffer` across N injections, then flushes decoded bytes to `C:\Windows\Temp\CertEnrollSvc.bin` via `process.mainModule.require('fs').writeFileSync(dest, Buffer.from(global.__stageBuffer,'base64'))` and `delete global.__stageBuffer`; no `child_process` module invoked",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=7,Module Load
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval fs.renameSync CertEnrollSvc .bin to .exe,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: single eval(String.fromCharCode(...)) dispatching fs.renameSync executes within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the file-rename event for CertEnrollSvc.bin → CertEnrollSvc.exe on IIS01, which is attributed to T1036.005, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`rename` eval: node.exe evaluates a single charcode-encoded JavaScript injection dispatching `process.mainModule.require('fs').renameSync('C:\\Windows\\Temp\\CertEnrollSvc.bin','C:\\Windows\\Temp\\CertEnrollSvc.exe')`; no `child_process` spawn, no `cmd.exe` wrapper",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval fs.renameSync CertEnrollSvc .bin to .exe,Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"N/A — C2: single eval(String.fromCharCode(...)) dispatching fs.renameSync executes within the existing node.exe V8 runtime — no child process spawned; Node.js has no script-block-equivalent telemetry channel on the Scenario 1 EDR surface; the only externally observable output is the file-rename event for CertEnrollSvc.bin → CertEnrollSvc.exe on IIS01, which is attributed to T1036.005, not to the JavaScript execution mechanism",Not Calibrated - Not Benign,C2,Low,"`rename` eval: node.exe evaluates a single charcode-encoded JavaScript injection dispatching `process.mainModule.require('fs').renameSync('C:\\Windows\\Temp\\CertEnrollSvc.bin','C:\\Windows\\Temp\\CertEnrollSvc.exe')`; no `child_process` spawn, no `cmd.exe` wrapper",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",m365:defender,ScriptBlockLogging + AMSI,Script Execution
