Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Red Team Activity,Hosts,Users
Command and Control,T1071.001,Application Layer Protocol: Web Protocols,Windows,`mshta.exe` connects to `upload.testlab.local:80` via HTTP; GET requests to `/uploads/dnscat2.exe` and `/uploads/CWLHerpaderping.exe` issued before file creation events,Calibrated - Not Benign,HTA VBScript uses `MSXML2.XMLHTTP` to perform outbound HTTP GET requests from victim workstation to `upload.testlab.local` to fetch dnscat2 and Herpaderping loader — distinct detection axis from T1105 (file creation event),victim-workstation,domain user
Command and Control,T1105,Ingress Tool Transfer,Windows,"`node.exe` writes or appends 2,000-char chunks to `C:\Windows\Temp\CertEnrollSvc.b64` via `fs.writeFileSync` and `fs.appendFileSync`",Calibrated - Not Benign,`upload` command transfers CertEnrollSvc.exe encoded as base64 in chunks via eval-based `fs` writes — no child process spawned,react.testlab.local,IIS APPPOOL\react.testlab.local
Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"`node.exe` reads `C:\Windows\Temp\CertEnrollSvc.b64` and writes decoded bytes to `C:\Windows\Temp\CertEnrollSvc.bin`, followed by `fs.renameSync` rename to `C:\Windows\Temp\CertEnrollSvc.exe`",Calibrated - Not Benign,"`decode` command decodes base64 file to PE bytes using Node.js `Buffer` API via eval, then `rename` moves the staged `.bin` to `.exe` — no spawn",react.testlab.local,IIS APPPOOL\react.testlab.local
Privilege Escalation,T1134.001,Access Token Manipulation: Token Impersonation/Theft,Windows,`CertEnrollSvc.exe` elevates its token to `NT AUTHORITY\SYSTEM` via Named Pipe Impersonation to spawn a highly privileged child process,Calibrated - Not Benign,CertEnrollSvc uses `SeImpersonatePrivilege` held by the AppPool identity to impersonate the SYSTEM token via MS-EFSR named pipe coercion,react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1055,Process Injection,Windows,`CertEnrollAgent.exe` maps a `SEC_IMAGE` section from a temporary file and spawns a ghost process via `NtCreateProcessEx` before overwriting the temp file on disk,Calibrated - Not Benign,"CWLHerpaderping uses the Process Herpaderping technique: writes dnscat2 payload to temp file, maps `NtCreateSection(SEC_IMAGE)`, spawns ghost process via `NtCreateProcessEx` from that section, then overwrites the temp file with junk — process runs from in-memory section while on-disk file is corrupted",react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1134.004,Access Token Manipulation: Parent PID Spoofing,Windows,`CertEnrollAgent.exe` spawns a ghost process with a spoofed parent PID (PPID) pointing to `svchost.exe` or `wininit.exe` in Session 0,Calibrated - Not Benign,"`GetNonJobParent()` iterates `svchost.exe` then `wininit.exe` as fallback, filtering to Session 0 via `ProcessIdToSessionId`; opens first match with `PROCESS_CREATE_PROCESS` and passes handle to `NtCreateProcessEx`; token fixup overrides inherited parent token with SYSTEM",react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1070.004,Indicator Removal: File Deletion,Windows,`CertEnrollAgent.exe` deletes `C:\ProgramData\CertCA.bin` from disk,Calibrated - Not Benign,CWLHerpaderping deletes the dnscat2 payload file from disk after reading it to memory to remove forensic evidence,react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,`CertEnrollAgent.exe` spawns a ghost process with the spoofed `ImageFileName` of `C:\Windows\System32\RuntimeBroker.exe`,Calibrated - Not Benign,CWLHerpaderping spawns ghost process with spoofed image path to blend with legitimate Windows processes,react.testlab.local,NT AUTHORITY\SYSTEM
Command and Control,T1071.004,Application Layer Protocol: DNS,Windows,`RuntimeBroker.exe` (dnscat2 ghost process) issues a high volume of DNS queries containing encoded subdomain labels to `attacker.local`,Calibrated - Not Benign,dnscat2 C2 session established from IIS server as SYSTEM via Herpaderping ghost process; bootstrapped from a single react2shell session via eval detached spawn of CertEnrollSvc,react.testlab.local,NT AUTHORITY\SYSTEM
Discovery,T1012,Query Registry,Windows,`RuntimeBroker.exe` (dnscat2 ghost process) reads the `HKLM\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{GUID}\NameServer` registry key via `RegOpenKeyEx` API,Calibrated - Not Benign,dnscat2 enumerates all TCP/IP interface GUIDs and reads `NameServer` / `DhcpNameServer` registry values to discover the DNS resolver for C2 domain tunneling,react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1564.003,Hide Artifacts: Hidden Window,Windows,`CertEnrollSvc.exe` spawns `CertEnrollAgent.exe` with the `CREATE_NO_WINDOW` (`0x08000000`) flag; `dnscat2.exe` executes without a console window,Calibrated - Not Benign,`CertEnrollSvc.exe` calls `CreateProcessAsUser` with `CREATE_NO_WINDOW` (`0x08000000`) to launch `CertEnrollAgent.exe` as SYSTEM; dnscat2 compiled with `-H windowsgui` — no visible window artifact on IIS server at any point during or after escalation,react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1564.010,Hide Artifacts: Process Argument Spoofing,Windows,`CertEnrollAgent.exe` patches the remote PEB `ProcessParameters` pointer of the ghost process to a spoofed structure,Calibrated - Not Benign,`CWLHerpaderping` (`CertEnrollAgent.exe` running as SYSTEM on IIS01) builds fake `RTL_USER_PROCESS_PARAMETERS` with `RuntimeBroker.exe` image path and patches the ghost PEB pointer — process appears as a legitimate Windows component to any tool querying `ProcessParameters`,react.testlab.local,NT AUTHORITY\SYSTEM
Discovery,T1057,Process Discovery,Windows,"`CreateToolhelp32Snapshot(TH32CS_SNAPPROCESS, 0)` + `Process32NextW` loop issued by `WdiBoot.exe` to locate LSASS PID; target name `lsass.exe` absent from binary strings",Calibrated - Not Benign,`QueryProcessEntry()` enumerates all running processes via toolhelp snapshot to obtain lsass PID; process name assembled at runtime as a `wchar_t` array,react.testlab.local,NT AUTHORITY\SYSTEM
Credential Access,T1003.001,OS Credential Dumping: LSASS Memory,Windows,`WdiBoot.exe` invokes `RtlCreateProcessReflection` to clone `lsass.exe` and writes an XOR-encrypted minidump to `C:\Windows\Temp\f.elif`,Calibrated - Not Benign,"ReflectDump forks LSASS via `RtlCreateProcessReflection`, dumps the fork via `MiniDumpWriteDump` with `IoWriteAllCallback` into 75 MB heap buffer, XOR-encrypts buffer in-place with key `0x35` via `XorBuffer`, then flushes to `f.elif`; reflection terminated after dump",react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,`WdiBoot.exe` writes `C:\Windows\Temp\f.elif` with entire minidump buffer XOR-encrypted using single-byte key `0x35`; file on disk contains no MDMP magic bytes or recognisable credential strings — appears as opaque binary noise to static scanners,Calibrated - Not Benign,ReflectDump XOR-encrypts entire 75 MB dump buffer in-place via `XorBuffer` with hardcoded key `0x35` before `WriteFile`; encryption applied to obfuscate LSASS memory dump content and evade signature-based detection of minidump format,react.testlab.local,NT AUTHORITY\SYSTEM
Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,PE at `C:\Windows\Temp\WdiBoot.exe`; output artefact at `C:\Windows\Temp\f.elif` lacks `.dmp` extension,Calibrated - Not Benign,ReflectDump staged as `WdiBoot.exe` (mimics Windows Diagnostics Infrastructure component); dump written as `f.elif` to suppress extension-based detection rules,react.testlab.local,NT AUTHORITY\SYSTEM
Exfiltration,T1030,Data Transfer Size Limits,Windows,"`node.exe` transmits the contents of `f.elif` via multiple 8,192-byte HTTP POST responses to the attacker",Calibrated - Not Benign,"react2shell `download` command exfiltrates `f.elif` as base64 in 8,192-byte chunks over successive HTTP responses",react.testlab.local,IIS APPPOOL\react.testlab.local
Lateral Movement,T1550.002,Use Alternate Authentication Material: Pass the Hash,Windows,"`go-thehash.exe` authenticates as `TESTLAB\Administrator` to DC01 over NTLM, generating Event ID 4624 (Logon Type 3, `LogonProcessName: NtLmSsp`) on DC01 from source IP `10.12.10.20`",Calibrated - Not Benign,`go-thehash.exe` authenticates to DC01 via raw NT hash (`41c46bf74ec071f65c7b97df4b7d672a`) passed directly to `spnego.NTLMInitiator`; NTLMv2 challenge-response built in Go without touching Windows SSPI or credential store,react.testlab.local → DC01,TESTLAB\Administrator
Lateral Movement,T1021.002,Remote Services: SMB/Windows Admin Shares,Windows,`go-thehash.exe` accesses the `\\DC01\C$` admin share from IIS01 over SMB2 using `TESTLAB\Administrator`,Calibrated - Not Benign,`go-thehash.exe put` uses an authenticated SMB2 session to reach the `C$` admin share on DC01 with the recovered domain admin hash,react.testlab.local → DC01,TESTLAB\Administrator
Lateral Movement,T1570,Lateral Tool Transfer,Windows,`go-thehash.exe` stages `CertCA.bin` and `CertEnrollAgent.exe` at `C:\ProgramData\` on DC01 for later execution,Calibrated - Not Benign,`go-thehash.exe put` moves the dnscat2 payload (`CertCA.bin`) and Herpaderping loader (`CertEnrollAgent.exe`) from compromised IIS01 to DC01; this staging outcome is distinct from the SMB admin-share transport captured by T1021.002,react.testlab.local → DC01,TESTLAB\Administrator
Execution,T1047,Windows Management Instrumentation,Windows,`wmiprvse.exe` spawns `CertEnrollAgent.exe` on DC01 via a remote WMI `Win32_Process.Create` call originating from IIS01,Calibrated - Not Benign,"`go-thehash.exe exec-wmi` calls `Win32_Process.Create(CommandLine=""C:\ProgramData\CertEnrollAgent.exe"")` via `IWbemServices::ExecMethod`; `wmiprvse.exe` impersonates `TESTLAB\Administrator` (DCOM impersonation) so the spawned process inherits domain admin token",DC01,TESTLAB\Administrator
Execution,T1569.002,System Services: Service Execution,Windows,`go-thehash.exe` generates Event ID 7045 on DC01 by creating a temporary service (`<random12>`) via MS-SCMR to execute `C:\ProgramData\CertEnrollAgent.exe` as `LocalSystem`,Calibrated - Not Benign,`go-thehash.exe exec` issues `RCreateServiceW` + `RStartServiceW` + `RDeleteServiceW` via the `\svcctl` named pipe; SCM spawns `CertEnrollAgent.exe` as `LocalSystem` — SCM does not impersonate the remote caller,DC01,TESTLAB\Administrator
Persistence,T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,Windows,"Event ID 5861 on DC01 (`Microsoft-Windows-WMI-Activity/Operational`): consumer `CertPolicyConsumer` bound to filter `CertPolicyFilter` in `root\subscription`; `__EventFilter`, `CommandLineEventConsumer`, and `__FilterToConsumerBinding` objects queryable via `Get-WmiObject -Namespace root\subscription`",Calibrated - Not Benign,"Three WMI objects created in `root\subscription`: 60-second `Win32_PerfRawData_PerfOS_System` poll filter, `CommandLineEventConsumer` pointing to `C:\ProgramData\dnscat2.exe`, and binding; `wmiprvse.exe` spawns `dnscat2.exe` directly on each poll cycle",DC01,TESTLAB\Administrator (creator) / NT AUTHORITY\SYSTEM (runtime)
Defense Evasion,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification,Windows,"`scripts.ini` created or modified under `C:\Windows\SYSVOL\sysvol\testlab.local\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}\User\Scripts\`; file-write event on SYSVOL path by a process outside normal GPO management tools (`gpmc.msc`, `Set-GPO`); DFS-R replication propagates the change to all DCs within minutes",Calibrated - Not Benign,Attacker writes `scripts.ini` directly into the Default Domain Policy SYSVOL path from the DC01 SYSTEM shell — modifying the live GPO content without using any Group Policy management interface; workstations pick up the modified policy on next logon and execute `update.exe` (dnscat2) via `userinit.exe`,DC01,TESTLAB\Administrator
Persistence,T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,Windows,"On domain-joined workstation: `userinit.exe` spawns `update.exe` (resolved from `\\testlab.local\SYSVOL\...`) during domain user logon; Sysmon Event 1: `ParentImage = C:\Windows\System32\userinit.exe`, `Image = update.exe`",Calibrated - Not Benign,GPO logon script execution: `userinit.exe` reads `scripts.ini` and launches `update.exe` (dnscat2) in the logged-on user's security context; execution originates from a legitimate Windows process — not from a ghost or injected context,Workstations,TESTLAB\<domain user>
