Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,ACW,Red Team Activity,Hosts,Users,Summary
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,`CertEnrollSvc.exe` loads `advapi32.dll` and `rpcrt4.dll` via `LoadLibraryW` at runtime (Sysmon EID 7) — neither DLL present in binary's static import table (sparse IAT); process requiring Windows auth and RPC resolves these DLLs dynamically rather than declaring them at link time,Calibrated - Not Benign,-,Medium,"`X.Init()` resolves all Win32 delegates via `R<T>(h, S(_fn_*))` — `S()` XOR-decodes the function name before passing to `GetProcAddress`; all DLL names (`_k32`, `_adv`, `_rpc`, `_ntdll`) and all function name byte arrays (`_fn_va`, `_fn_cnpw`, `_fn_cpwt`, etc.) are XOR-encoded with `(0xA3 + i*0x5B)` formula; `InitSyscalls()` additionally applies Halo's Gate: walks `±0x20`-byte neighbors of each Nt-stub to infer SSN when stub prologue is hooked",IIS01 (10.12.10.20),IIS APPPOOL\react.testlab.local,CertEnrollSvc.exe resolves advapi32/rpcrt4 APIs at runtime via XOR-decoded names
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Execution,T1106,Native API,Windows,"`CertEnrollSvc.exe` allocates a private non-module-backed RX region via `VirtualAlloc` (`PAGE_READWRITE`) → `VirtualProtect` (`PAGE_EXECUTE_READ`) for indirect syscall stubs targeting `NtFsControlFile`, `NtOpenThreadToken`, and `NtDuplicateToken` — detectable via memory scan as a private executable page with no corresponding module on disk",Calibrated - Not Benign,-,Medium,"`X.InitSyscalls()` writes trampolines into a `VirtualAlloc`-owned page and flips it to `PAGE_EXECUTE_READ` before any pipe or RPC operation; subsequent `pfNtFsControlFile`, `pfNtOpenThreadToken`, `pfNtDuplicateToken` invocations dispatch through the trampoline page — avoids advapi32/ntdll hook entry points so EDR stack walker does not fire on the impersonation path",IIS01 (10.12.10.20),IIS APPPOOL\react.testlab.local,CertEnrollSvc.exe allocates private RX page for indirect syscall trampolines
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Privilege Escalation,T1134.001,Access Token Manipulation: Token Impersonation/Theft,Windows,"`CertEnrollSvc.exe` creates named pipe `\\.\pipe\{GUID}\pipe\srvsvc` (Sysmon EID 17); EFS service or `lsass.exe` connects as pipe client; `CertEnrollSvc.exe` issues `NtFsControlFile(FSCTL_PIPE_IMPERSONATE, 0x0011001C)` via indirect syscall trampoline to steal SYSTEM token — IIS AppPool process acquiring SYSTEM impersonation via named pipe, detectable via native API monitoring (ETW kernel callback for `NtFsControlFile` with `FSCTL_PIPE_IMPERSONATE` control code)",Calibrated - Not Benign,-,Critical,"EfsPotato exploits `SeImpersonatePrivilege` held by the IIS AppPool identity — creates named pipe, triggers EFS RPC call to force a privileged process to connect; Tier 1 path uses `NtFsControlFile(FSCTL_PIPE_IMPERSONATE)` + `NtOpenThreadToken` + `NtDuplicateToken(TokenType=Primary)` via indirect syscall trampolines to impersonate the pipe client, capture the SYSTEM impersonation token, and duplicate it to a standalone primary token in one unhooked chain",IIS01 (10.12.10.20),IIS APPPOOL\react.testlab.local → NT AUTHORITY\SYSTEM,Named pipe impersonation via NtFsControlFile FSCTL_PIPE_IMPERSONATE to steal SYSTEM token
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Privilege Escalation,T1134.002,Access Token Manipulation: Create Process with Token,Windows,"`CertEnrollSvc.exe` writes `%TEMP%\tmpXXXX.tmp` to disk (Sysmon EID 11, IIS APPPOOL identity); `svchost.exe` (Secondary Logon service) spawns `%TEMP%\tmpXXXX.tmp` as `NT AUTHORITY\SYSTEM` (Sysmon EID 1) — process launched as SYSTEM with SecLogon as reported parent, not `CertEnrollSvc.exe`",Calibrated - Not Benign,-,Critical,"EfsPotato reads PE from stdin, writes to a random temp file to obtain a filesystem path, then calls `CreateProcessWithTokenW` with the duplicated primary SYSTEM token; `CreateProcessWithTokenW` routes through the Secondary Logon service and requires only `SeImpersonatePrivilege` on the caller — already held as prerequisite for the EFS coercion above; `CreateProcessAsUserW` was rejected as it fails with ERROR_ACCESS_DENIED (5) from limited-caller contexts (IIS AppPool) despite a valid primary SYSTEM token",IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,CreateProcessWithTokenW with duplicated primary SYSTEM token via Secondary Logon service
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1070.004,Indicator Removal: File Deletion,Windows,`CertEnrollSvc.exe` deletes `%TEMP%\tmpXXXX.tmp` after spawning the loader (Sysmon EID 23) — recently-created PE file deleted by the IIS AppPool process that wrote it,Not Calibrated - Not Benign,cleanup,Low,EfsPotato cleans up the CWLHerpaderping PE temp file after the loader process exits to remove forensic evidence of which binary was spawned as SYSTEM,IIS01 (10.12.10.20),IIS APPPOOL\react.testlab.local,Delete temp PE file after loader process exits
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,N/A — C3: PEB walk and DJB2 EAT hash resolution against ntdll.dll are in-process only; no runtime DLL loads (contrast Row 11 T1027.007 which fires Sysmon EID 7 via LoadLibraryW); sparse IAT is PE static structure with no behavior-centric companion signal,Not Calibrated - Not Benign,C3,Low,CWLHerpaderping uses hash-based API resolution on loader startup before any NT API call; implementation details in [process-herpaderping.md](../further-reading/process-herpaderping.md),IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,PEB-walk DJB2 EAT hash API resolution (in-process only; no Sysmon EID 7)
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1562.006,Impair Defenses: Indicator Blocking,Windows,"`%TEMP%\tmpXXXX.tmp` calls `VirtualProtect(ntdll!EtwEventWrite, PAGE_EXECUTE_READWRITE)` then overwrites the first 3 bytes with `xor eax, eax / ret` — loader process modifying a loaded system DLL code-section page to `PAGE_EXECUTE_READWRITE` to disable ETW emission; detectable via EDR API monitoring (opt-in: ENABLE_ETW_PATCH build flag)",Not Calibrated - Not Benign,C2,Medium,CWLHerpaderping patches ETW on startup before entering the Herpaderping flow; only active when compiled with `ENABLE_ETW_PATCH` preprocessor flag — see [build.md](../../resources/payloads/process-injection/CWLHerpaderping/build.md),IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,"Patch ntdll!EtwEventWrite with xor eax,eax/ret to disable ETW emission"
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Execution,T1106,Native API,Windows,"`%TEMP%\tmpXXXX.tmp` (CWLHerpaderping) calls `InitSyscallPool` to allocate a non-module-backed RX page for indirect syscall stubs covering `NtCreateSection`, `NtCreateProcessEx`, `NtAllocateVirtualMemory`, `NtWriteVirtualMemory`, and `NtCreateThreadEx`; private non-module-backed RX region detectable via memory scan independently of call-stack analysis",Calibrated - Not Benign,-,Medium,"CWLHerpaderping invokes the full Herpaderping process-creation path through indirect syscalls; non-module-backed RX allocation is the same observable as CertEnrollSvc.exe T1106; `kernel32.dll` stack spoof affects call-stack-based detection only, not memory region scanning",IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,CWLHerpaderping allocates RX page for indirect syscalls (NtCreateSection etc.)
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1564.001,Hide Artifacts: Hidden Files and Directories,Windows,`%TEMP%\tmpXXXX.tmp` (CWLHerpaderping) creates `C:\Windows\Temp\HD*.tmp` with `FILE_ATTRIBUTE_HIDDEN` set in `dwFlagsAndAttributes` at `CreateFileW` time — Sysmon EID 11 records hidden-attribute file creation; `dir /ah` or `Get-ChildItem -Hidden` required to enumerate artifact,Calibrated - Not Benign,-,Low,"CWLHerpaderping creates `HD*.tmp` with `FILE_ATTRIBUTE_HIDDEN` at `CreateFileW` time in `Herpaderping()`; file is hidden from Explorer and basic `dir` output for its full on-disk lifetime; MFT-based enumeration (`dir /ah`, `Get-ChildItem -Hidden`, Sysmon EID 11) is required to observe the artifact",IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Create HD*.tmp with FILE_ATTRIBUTE_HIDDEN in C:\Windows\Temp
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Discovery,T1057,Process Discovery,Windows,`%TEMP%\tmpXXXX.tmp` opens a `PROCESS_CREATE_PROCESS` handle to a Session 0 `svchost.exe` or `wininit.exe` process (Sysmon EID 10) — temp executable acquiring parent-spawn rights on a system service process,Calibrated - Not Benign,-,Medium,CWLHerpaderping enumerates all running processes to find a Session 0 parent (svchost.exe or wininit.exe) for PPID spoofing; `GetNonJobParent()` performs this enumeration before `NtCreateProcessEx`,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Enumerate processes via OpenProcess PROCESS_CREATE_PROCESS to find Session 0 parent
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,`%TEMP%\tmpXXXX.tmp` reads `C:\ProgramData\CertCA.enc` — loader process reading staged payload file (kernel-callback file I/O),Calibrated - Not Benign,-,High,CWLHerpaderping decodes the XOR-encoded dnscat2 payload entirely in-process; no decoded PE ever written to disk; the XOR formula matches `PAYLOAD_XOR_BASE`/`PAYLOAD_XOR_STEP` compile-time constants,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Read XOR-encoded dnscat2 payload CertCA.enc into memory
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1070.004,Indicator Removal: File Deletion,Windows,`%TEMP%\tmpXXXX.tmp` deletes `C:\ProgramData\CertCA.enc` (Sysmon EID 23) — loader process removing staged payload file immediately after reading it into memory,Not Calibrated - Not Benign,cleanup,Low,"CWLHerpaderping deletes the encoded payload file immediately after reading it into memory, before decoding begins; removes forensic evidence of which payload was staged",IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Delete CertCA.enc immediately after reading into memory
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1055,Process Injection,Windows,`%TEMP%\tmpXXXX.tmp` creates `RuntimeBroker.exe` via `NtCreateProcessEx` direct syscall with a section object mapped from `C:\Windows\Temp\HD*.tmp` — non-standard process creation path bypassing `kernel32!CreateProcess`; detectable via native API monitoring (ETW kernel callback for `NtCreateProcessEx` with a section-object argument),Calibrated - Not Benign,-,Critical,CWLHerpaderping performs Process Herpaderping: dnscat2 payload enters ghost process as an image-section-backed mapping; process created without WriteProcessMemory — EDR sees a legitimate image path but the mapped PE does not match the on-disk content,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Ghost process creation via NtCreateProcessEx with section object mapped from HD*.tmp
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1070,Indicator Removal,Windows,"`%TEMP%\tmpXXXX.tmp` modifies `C:\Windows\Temp\HD*.tmp` immediately after `NtCreateProcessEx` completes (Sysmon EID 11 file modification) — hidden payload file overwritten with decoy content after ghost process creation, destroying on-disk forensic evidence",Calibrated - Not Benign,-,Low,"Herpaderping trick: after `NtCreateSection` and `NtCreateProcessEx` succeed, CWLHerpaderping overwrites the entire temp file with IIS log decoy content; destroys on-disk evidence of which PE was mapped into the ghost process",IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Overwrite HD*.tmp with IIS log decoy content after NtCreateProcessEx succeeds
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1134.004,Access Token Manipulation: Parent PID Spoofing,Windows,`NtCreateProcessEx` call from `%TEMP%\tmpXXXX.tmp` specifies `ParentProcess` handle pointing to Session 0 `svchost.exe` or `wininit.exe`; `RuntimeBroker.exe` ghost process PPID reported as Session 0 `svchost.exe` or `wininit.exe` (Sysmon EID 1) — PPID-creator mismatch: reported parent is a Session 0 service process while the actual creating thread is in `%TEMP%\tmpXXXX.tmp`,Calibrated - Not Benign,-,Medium,CWLHerpaderping opens a Session 0 svchost/wininit handle via `OpenProcess(PROCESS_CREATE_PROCESS)` and passes it as the `ParentProcess` argument to `NtCreateProcessEx`; implementation details in [process-herpaderping.md](../further-reading/process-herpaderping.md),IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,PPID spoof: pass Session 0 svchost/wininit handle as ParentProcess to NtCreateProcessEx
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,`RuntimeBroker.exe` ghost process image path `C:\Windows\System32\RuntimeBroker.exe` with mapped PE content not matching on-disk binary hash — image integrity mismatch detectable by EDR memory scan or image-verification,Calibrated - Not Benign,-,Low,CWLHerpaderping calls `RtlCreateProcessParametersEx` with `RuntimeBroker.exe` path to make the ghost process resemble a trusted Windows component; masquerade outcome mapped separately from PEB rewrite,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Ghost process image path set to RuntimeBroker.exe to masquerade as trusted component
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1564.010,Hide Artifacts: Process Argument Spoofing,Windows,`%TEMP%\tmpXXXX.tmp` (CWLHerpaderping) calls `NtWriteVirtualMemory` targeting `PEB->ProcessParameters` of the `RuntimeBroker.exe` ghost process — cross-process write into PEB region to install spoofed process parameters,Calibrated - Not Benign,-,Low,"CWLHerpaderping allocates remote memory at the same VA as the local `processParameters` block, copies the block, then patches `PEB->ProcessParameters` to point to it; hides true payload identity in PEB",IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,PEB ProcessParameters overwrite via NtWriteVirtualMemory to spoof process arguments
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1027.008,Obfuscated Files or Information: Stripped Payloads,Windows,N/A — C4: Go symbol table stripping and C++ release build properties are build-time static artifacts; no behavioral observable at runtime; binary analysis criteria are not fair scoring points in a behavior-centric EDR evaluation,Not Calibrated - Not Benign,out-of-surface,Low,dnscat2 DnsQuery_W payload (`cmd/dnscat-dnsapi`) compiled with Go release flags that omit symbol and DWARF information; CWLHerpaderping is a release-built C++ binary with debug info stripped — responders cannot recover function names or source paths from either binary,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,Go/C++ payloads compiled with stripped symbols and debug info
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1564.003,Hide Artifacts: Hidden Window,Windows,"N/A — C4: CREATE_NO_WINDOW flag not recorded in Sysmon EID 1 telemetry (dwCreationFlags field absent); conhost.exe absence is a negative indicator, not an independently verifiable artifact",Not Calibrated - Not Benign,out-of-surface,Low,EfsPotato sets `CREATE_NO_WINDOW` on `CreateProcessWithTokenW` call; dnscat2 Go binary compiled with `-H windowsgui` linker flag suppressing console allocation,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,CREATE_NO_WINDOW and -H windowsgui flag suppress console window creation
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Discovery,T1012,Query Registry,Windows,"`RuntimeBroker.exe` (dnscat2 ghost, NT AUTHORITY\SYSTEM) reads `HKLM\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{GUID}\NameServer` and `DhcpNameServer` registry values — `RuntimeBroker.exe` reading TCP/IP DNS resolver config is anomalous",Calibrated - Not Benign,-,Medium,dnscat2 enumerates TCP/IP interface GUIDs and reads NameServer/DhcpNameServer registry values to discover the DNS resolver for C2 tunneling,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,RuntimeBroker.exe ghost reads NameServer/DhcpNameServer registry values for DNS resolver discovery
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Command and Control,T1071.004,Application Layer Protocol: DNS,Windows,"`RuntimeBroker.exe` (dnscat2 ghost) issues DNS queries with encoded subdomain labels to `crl.ms-cert.net` via `dnsapi.dll!DnsQuery_W`; Sysmon Event 22 logs `RuntimeBroker.exe` PID as the querying process; UDP/53 socket is held by `svchost.exe` (Dnscache service) — network-layer tools (NDR, firewall socket rules) attribute tunnel traffic to `svchost.exe`, not to `RuntimeBroker.exe`",Calibrated - Not Benign,-,Critical,dnscat2 DnsQuery_W C2 session established as SYSTEM via Herpaderping ghost process; C2 bootstrapped from react2shell session via pipestage staging chain; DNS API transport causes UDP/53 socket to be owned by the system DNS Client service rather than the ghost process,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,dnscat2 DnsQuery_W DNS C2 tunnel via ghost RuntimeBroker.exe to crl.ms-cert.net
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Command and Control,T1573.002,Encrypted Channel: Asymmetric Cryptography,Windows,N/A — C3: dnscat2 session ciphertext carried in DNS subdomain labels is not independently distinguishable from legitimate encoded DNS data without protocol-level analysis requiring the session key or trusting the implant,Not Calibrated - Not Benign,C3,Medium,dnscat2 encrypts C2 session data; protocol details covered in [dnscat2.md](../further-reading/dnscat2.md),IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,dnscat2 encrypts C2 session traffic in DNS subdomain labels
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Execution,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Windows,`cmd.exe` spawned as child of `RuntimeBroker.exe` ghost (dnscat2 SYSTEM parent); command line is `cmd.exe` with no arguments; parent image path is `C:\Windows\System32\RuntimeBroker.exe`,Not Calibrated - Not Benign,interpreter-spawn,Low,dnscat2 `shell` command spawns `cmd.exe` under the `RuntimeBroker.exe` ghost process as `NT AUTHORITY\SYSTEM`; all subsequent shell commands in Phases 2–5 from the IIS01 SYSTEM session execute within this `cmd.exe` child,IIS01 (10.12.10.20),NT AUTHORITY\SYSTEM,dnscat2 shell spawns cmd.exe as SYSTEM child of RuntimeBroker.exe ghost
Step 1 - Discovery: Host & Domain Reconnaissance,Discovery,T1033,System Owner/User Discovery,Windows,RuntimeBroker.exe spawns cmd.exe which executes whoami.exe on react.testlab.local,Not Calibrated - Not Benign,native-recon,Low,"`whoami /all` dumps the full SYSTEM token - user SID, group memberships, privilege list, integrity level - confirming successful escalation and presence of `SeDebugPrivilege`",react.testlab.local,NT AUTHORITY\SYSTEM,whoami /all dumps full SYSTEM token to confirm escalation
Step 1 - Discovery: Host & Domain Reconnaissance,Discovery,T1018,Remote System Discovery,Windows,RuntimeBroker.exe spawns cmd.exe which executes nltest.exe /dsgetdc:TESTLAB on react.testlab.local,Not Calibrated - Not Benign,native-recon,Medium,"`nltest /dsgetdc:TESTLAB` queries the Netlogon service to return DC hostname (`DC01`), IP (`10.12.10.10`), site, and role flags (PDC, GC, KDC) from the SYSTEM dnscat2 shell",react.testlab.local,NT AUTHORITY\SYSTEM,"nltest /dsgetdc discovers DC hostname, IP, and role flags"
Step 1 - Discovery: Host & Domain Reconnaissance,Discovery,T1069.002,Permission Groups Discovery: Domain Groups,Windows,"RuntimeBroker.exe spawns cmd.exe which executes net.exe group ""Domain Admins"" /domain on react.testlab.local",Not Calibrated - Not Benign,native-recon,Medium,"`net group ""Domain Admins"" /domain` enumerates DA members to identify high-value credential targets from credential access activities",react.testlab.local,NT AUTHORITY\SYSTEM,net group 'Domain Admins' /domain enumerates DA members
Step 1 - Discovery: Host & Domain Reconnaissance,Discovery,T1087.002,Account Discovery: Domain Account,Windows,RuntimeBroker.exe spawns cmd.exe which executes net.exe user /domain on react.testlab.local,Not Calibrated - Not Benign,native-recon,Medium,`net user /domain` enumerates all domain accounts - cross-referenced against credentials recovered in credential access activities,react.testlab.local,NT AUTHORITY\SYSTEM,net user /domain enumerates all domain accounts
Step 1 - Discovery: Host & Domain Reconnaissance,Discovery,T1135,Network Share Discovery,Windows,"RuntimeBroker.exe spawns cmd.exe which executes net.exe view \\DC01 on react.testlab.local, generating outbound SMB enumeration to DC01 (10.12.10.10:445)",Calibrated - Not Benign,-,Medium,"`net view \\DC01` enumerates admin shares (`ADMIN$`, `C$`, `NETLOGON`, `SYSVOL`) on the DC to confirm SMB lateral movement path is accessible before Pass-the-Hash",react.testlab.local,NT AUTHORITY\SYSTEM,net view \\DC01 enumerates admin shares on domain controller
Step 2 - Discovery: Endpoint Security Products,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe (IIS APPPOOL\react.testlab.local) writes PE binary to C:\Windows\Temp\diaghost.bin on react.testlab.local,Not Calibrated - Not Benign,transport,Low,"`stage` reads `WmiAvQuery.exe` locally (staged as `diaghost.bin → diaghost.exe`), base64-encodes in Python memory, streams 2,000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded binary bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,Stage WmiAvQuery.exe as diaghost.bin via eval channel
Step 2 - Discovery: Endpoint Security Products,Discovery,T1518.001,Software Discovery: Security Software Discovery,Windows,"diaghost.exe (child of RuntimeBroker.exe ghost, NT AUTHORITY\SYSTEM) queries ROOT\SecurityCenter2 with SELECT * FROM AntiVirusProduct on react.testlab.local; on Windows Server, fallback query targets MSFT_MpComputerStatus in ROOT\Microsoft\Windows\Defender",Calibrated - Not Benign,-,Medium,"`diaghost.exe` (WmiAvQuery.exe, staged under a neutral name) — custom C++ binary — profiles installed AV/EDR products via WMI COM APIs (`IWbemLocator` → `IWbemServices::ExecQuery`); returns display name, instance GUID, paths, and product state of all registered antivirus products; informs post-compromise evasion tuning before credential access in Step 3",react.testlab.local,NT AUTHORITY\SYSTEM,diaghost.exe queries ROOT\SecurityCenter2 via WMI COM to profile AV/EDR products
